Descript,predCategory
"EMBEZZLEMENT, PETTY THEFT OF LEASED PROPERTY",LARCENY/THEFT
"MALICIOUS MISCHIEF, VANDALISM",VANDALISM
VIOLATION OF RESTRICTIONS ON A FIREARM TRANSFER,WEAPON LAWS
POISONING ANIMALS,OTHER OFFENSES
"AIDED CASE, DOG BITE",NON-CRIMINAL
CARRYING A CONCEALED WEAPON,WEAPON LAWS
"STAY AWAY OR COURT ORDER, NON-DV RELATED",NON-CRIMINAL
"FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT","SEX OFFENSES, FORCIBLE"
TRANSPORTATION OF COCAINE,DRUG/NARCOTIC
"BURGLARY, UNLAWFUL ENTRY",BURGLARY
ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE,ROBBERY
"THEFT, DRUNK ROLL, <$50",LARCENY/THEFT
ATTEMPTED SUICIDE BY JUMPING,SUICIDE
POSSESSION OF HALLUCINOGENIC,DRUG/NARCOTIC
ATTEMPTED THEFT FROM LOCKED VEHICLE,LARCENY/THEFT
TARASOFF REPORT,NON-CRIMINAL
CONSPIRACY,OTHER OFFENSES
POSSESSION OF HEROIN FOR SALES,DRUG/NARCOTIC
"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY",BURGLARY
"BURGLARY OF STORE, FORCIBLE ENTRY",BURGLARY
AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,ASSAULT
ABORTION,OTHER OFFENSES
"BIGAMY, INCEST, AND THE CRIME AGAINST NATURE (GENERAL)",OTHER OFFENSES
POSSESSION OF HEROIN,DRUG/NARCOTIC
"VEHICLE, RECOVERED, MOBILE HOME-TRAILER",VEHICLE THEFT
SUICIDE BY STRANGULATION,SUICIDE
PETTY THEFT PHONE BOOTH,LARCENY/THEFT
ROBBERY OF A RESIDENCE WITH A DANGEROUS WEAPON,ROBBERY
BATTERY OF A POLICE OFFICER,ASSAULT
SALE OF ALCOHOL TO MINOR,DRUG/NARCOTIC
SOLICITS LEWD ACT,PROSTITUTION
PIMPING,PROSTITUTION
POST RELEASE COMMUNITY SUPERVISION,WARRANTS
"STOLEN CHECKS, POSSESSION",VEHICLE THEFT
ADVERTISING DISTRIBUTORS PERMIT VIOLATION,OTHER OFFENSES
"DISSUADING WITNESS, VICTIM",ASSAULT
"EMBEZZLEMENT, GRAND THEFT PRIVATE PROPERTY",LARCENY/THEFT
INDECENT EXPOSURE - PROSTITUTION RELATED,OTHER OFFENSES
"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION",WEAPON LAWS
DISTURBING THE PEACE,DISORDERLY CONDUCT
"EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE",EMBEZZLEMENT
EVADING A POLICE OFFICER RECKLESSLY,OTHER OFFENSES
MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,DRUG/NARCOTIC
TRESPASSING,TRESPASS
POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,WEAPON LAWS
GRAND THEFT AUTO STRIP,LARCENY/THEFT
PETTY THEFT COIN OPERATED MACHINE,LARCENY/THEFT
"DRIVING, RECKLESS, WITH INJURY",OTHER OFFENSES
ATTEMPTED SIMPLE ASSAULT,ASSAULT
BEYOND PARENTAL CONTROL,OTHER OFFENSES
TRAFFIC VIOLATION,OTHER OFFENSES
ROBBERY ON THE STREET WITH A GUN,ROBBERY
"ATTEMPTED RAPE, BODILY FORCE","SEX OFFENSES, FORCIBLE"
ABANDONMENT OF CHILD,LARCENY/THEFT
"ALCOHOLIC BEVERAGE, PROCURING SALE OF",DRUG/NARCOTIC
"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",ASSAULT
"TRAFFIC COLLISION, HIT & RUN, INJURY",OTHER OFFENSES
"ROBBERY, ARMED WITH A DANGEROUS WEAPON",ROBBERY
STOLEN AUTOMOBILE,VEHICLE THEFT
BRIBERY OF WITNESSES,BRIBERY
THEFT OF UTILITY SERVICES,LARCENY/THEFT
"BURGLARY, HOT PROWL, FORCIBLE ENTRY",BURGLARY
FOUND PROPERTY,NON-CRIMINAL
ATTEMPTED THEFT FROM A BUILDING,LARCENY/THEFT
SODOMY,NON-CRIMINAL
FORTUNE TELLING,OTHER OFFENSES
"THEFT, DRUNK ROLL, $200-$400",LARCENY/THEFT
"HAZARDOUS MATERIALS, STORE WITHOUT PERMIT",OTHER OFFENSES
ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON,ROBBERY
MINOR ON ON-SALE LICENSED PREMISE,LIQUOR LAWS
TRANSPORTATION OF OPIATES,DRUG/NARCOTIC
PROBATION VIOLATION,OTHER OFFENSES
ENROUTE TO OUTSIDE JURISDICTION,WARRANTS
ATTEMPTED HOMICIDE WITH A GUN,ASSAULT
"ATTEMPTED KIDNAPPING, JUVENILE VICTIM",KIDNAPPING
SALE OF HALLUCINOGENIC,DRUG/NARCOTIC
"ASSAULT, AGGRAVATED, W/ SEMI AUTO",ASSAULT
MISCELLANEOUS INVESTIGATION,OTHER OFFENSES
"SCHOOL PROPERTY, DISTURBANCE ON",OTHER OFFENSES
SUICIDE BY FIREARMS,SUICIDE
HUMAN TRAFFICKING,PROSTITUTION
COMMITTING PUBLIC NUISANCE,DISORDERLY CONDUCT
ATTEMPTED SUICIDE BY FIREARMS,SUICIDE
SOLICITING COMMISSION OF A CRIME,OTHER OFFENSES
ESCAPE OF PRISONER WHILE HOSPITALIZED,OTHER OFFENSES
OPEN CONTAINER OF ALCOHOL IN VEHICLE,OTHER OFFENSES
SALE OF METH-AMPHETAMINE,DRUG/NARCOTIC
"WEAPON, DEADLY, EXHIBITING TO RESIST ARREST",ASSAULT
PETTY THEFT FROM LOCKED AUTO,LARCENY/THEFT
STOLEN MISCELLANEOUS VEHICLE,VEHICLE THEFT
ENGAGING IN LEWD ACT,OTHER OFFENSES
EVADING PAYMENT OF RAILROAD FARE,OTHER OFFENSES
"FALSE PRETENSES, GRAND THEFT",FRAUD
MISCELLANEOUS STATE MISDEMEANOR,OTHER OFFENSES
"CIVIL SIDEWALKS, WARNING",NON-CRIMINAL
LOST/STOLEN LICENSE PLATE,OTHER OFFENSES
"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",BURGLARY
"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",ASSAULT
LICENSE REQUIRED TO SELL ALCOHOL,LIQUOR LAWS
TAMPERING WITH MAIL,OTHER OFFENSES
ATTEMPTED MOTORCYCLE STRIP,LARCENY/THEFT
TRAFFIC VIOLATION ARREST,OTHER OFFENSES
"WEAPON, DEADLY, CARRYING WITH INTENT TO COMMIT ASSAULT",WEAPON LAWS
"ATTEMPTED KIDNAPPING, ADULT VICTIM",KIDNAPPING
"THEFT, GRAND, BY FIDUCIARY, >$400 IN 12 MONTHS",LARCENY/THEFT
ENCOURAGING MINOR TO USE MARIJUANA,DRUG/NARCOTIC
POSS OF PROHIBITED WEAPON,WEAPON LAWS
"FIRE, UNLAWFULLY CAUSING",ASSAULT
ESCAPE FROM JAIL,OTHER OFFENSES
DISRUPTS SCHOOL ACTIVITIES,OTHER OFFENSES
ATTEMPTED THEFT PHONE BOOTH,LARCENY/THEFT
ATTEMPTED ROBBERY CHAIN STORE WITH A GUN,ROBBERY
SAFE BURGLARY OF A HOTEL,BURGLARY
DEFRAUDING OF VEHICLE REPAIRMAN,FRAUD
SALE OF METHADONE,DRUG/NARCOTIC
DUMPING OF OFFENSIVE MATTER,OTHER OFFENSES
"PERMIT VIOLATION, ENTERTAINMENT",OTHER OFFENSES
ATTEMPTED ROBBERY OF A BANK WITH A DEADLY WEAPON,ROBBERY
IMPOUNDED VEHICLE,NON-CRIMINAL
"STAY AWAY ORDER VIOLATION, DV RELATED",OTHER OFFENSES
"FALSE PRETENSES, PETTY THEFT",FRAUD
"FALSE CLAIMS, PRESENTING TO GOVERNMENT",FRAUD
ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN,ROBBERY
YOUTH COURT,NON-CRIMINAL
"AMMUNITION, POSS. BY PROHIBITED PERSON",WEAPON LAWS
BATTERY WITH SERIOUS INJURIES,ASSAULT
"MALICIOUS MISCHIEF, FICTITIOUS PHONE CALLS",OTHER OFFENSES
POSSESSION OF OPIUM DERIVATIVE,DRUG/NARCOTIC
MISSING ADULT,MISSING PERSON
ATTEMPTED ROBBERY SERVICE STATION WITH A GUN,ROBBERY
ATTEMPTED ROBBERY RESIDENCE WITH A KNIFE,ROBBERY
POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,DRUG/NARCOTIC
UNLAWFUL DISSUADING/THREATENING OF A WITNESS,ASSAULT
WILLFUL CRUELTY TO CHILD,ASSAULT
PUSH-CART PEDDLER PERMIT VIOLATION,OTHER OFFENSES
ASSAULT TO RAPE WITH A DANGEROUS WEAPON,ASSAULT
STOLEN BUS,VEHICLE THEFT
"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",BURGLARY
POSSESSION OF OBSCENE MATTER FOR SALE,DRUG/NARCOTIC
ARSON OF AN INHABITED DWELLING,ARSON
PETTY THEFT MOTORCYCLE STRIP,LARCENY/THEFT
ATTEMPTED ROBBERY OF A BANK WITH A GUN,ROBBERY
SALE OF OPIUM DERIVATIVE,DRUG/NARCOTIC
"DEATH, NON-MANSLAUGHTER AUTO ACCIDENT",NON-CRIMINAL
DRIVES VEHICLE ALONG TRACK OF RAILROAD,OTHER OFFENSES
UNAUTHORIZED USE OF LOUD SPEAKERS,OTHER OFFENSES
INVESTIGATIVE DETENTION,SUSPICIOUS OCC
"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY",DRIVING UNDER THE INFLUENCE
"ROBBERY, ARMED WITH A KNIFE",ROBBERY
ATTEMPTED ROBBERY WITH A GUN,ROBBERY
SALE OF SATELLITE TELEPHONE NUMBER,OTHER OFFENSES
"MONEY, CHANGING FACE AMOUNT",FORGERY/COUNTERFEITING
SUICIDE,NON-CRIMINAL
"MALICIOUS MISCHIEF, JUVENILE SUSPECT",VANDALISM
ROBBERY OF A BANK WITH A KNIFE,ROBBERY
POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC
PEDDLING WITHOUT A LICENSE,OTHER OFFENSES
FALSE REPORT OF EMERGENCY,FRAUD
FURNISHING MARIJUANA,DRUG/NARCOTIC
VIOLATION OF FEDERAL STATUTE,OTHER OFFENSES
THREATENING SCHOOL OR PUBLIC EMPLOYEE,ASSAULT
INMATE/KEEPER OF HOUSE OF PROSTITUTION,PROSTITUTION
"RAPE, SPOUSAL","SEX OFFENSES, FORCIBLE"
"BATHROOM HOLE, LOOKING THROUGH",OTHER OFFENSES
STOLEN AND RECOVERED VEHICLE,VEHICLE THEFT
ENROUTE TO DEPARTMENT OF CORRECTIONS,WARRANTS
"EMBEZZLEMENT, PETTY THEFT",LARCENY/THEFT
EMBEZZLEMENT (GENERAL),OTHER OFFENSES
BRIBERY OF EXECUTIVE OFFICER,ASSAULT
"ACCESS CARD INFORMATION, THEFT OF",FRAUD
VIOLATION OF EMERGENCY PROTECTIVE ORDER,OTHER OFFENSES
ATTEMPTED ROBBERY WITH BODILY FORCE,ROBBERY
INJURY TO TELEGRAPH/TELEPHONE LINES,OTHER OFFENSES
"SEXUAL ASSAULT, AGGRAVATED, OF CHILD",ASSAULT
CARJACKING WITH A KNIFE,ROBBERY
UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,DRUNKENNESS
STOLEN MOTORCYCLE,VEHICLE THEFT
MAINTAINING A PUBLIC NUISANCE,DISORDERLY CONDUCT
ATTEMPTED GRAND THEFT PURSESNATCH,LARCENY/THEFT
REFUSAL TO IDENTIFY,NON-CRIMINAL
VIOLATION OF MUNICIPAL CODE,OTHER OFFENSES
THROWING SUBSTANCE AT VEHICLE,OTHER OFFENSES
SAFE BURGLARY OF A STORE,BURGLARY
"ELECTRICAL  OR GAS LINES, INTERFERING WITH",VANDALISM
"HAZARDOUS MATERIALS, DUMPING IN UNAUTHORIZED LOCATION",OTHER OFFENSES
ASSAULT TO RAPE WITH A SHARP INSTRUMENT,"SEX OFFENSES, FORCIBLE"
DAMAGE/DESTRUCTION OF MAIL,VANDALISM
"FIREARM, NEGLIGENT DISCHARGE",VEHICLE THEFT
CRIMES AGAINST REVENUE & PROPERTY OF STATE,OTHER OFFENSES
"CITIZENSHIP OR ALIEN REGISTRATION, MAKING FALSE DOCUMENT",FORGERY/COUNTERFEITING
"PERMIT VIOLATION, POLICE (GENERAL)",OTHER OFFENSES
"MONEY, PROPERTY OR LABOR, FRAUDULENTLY OBTAINING",OTHER OFFENSES
"SHORT CHANGE, PETTY THEFT",FRAUD
POSSESSION OF METHADONE FOR SALES,DRUG/NARCOTIC
SUICIDE BY LACERATION,SUICIDE
"PROBATION VIOLATION, DV RELATED",OTHER OFFENSES
"FORGERY, POSSESSION DRIVERS LICENSE OR ID-CARD",FORGERY/COUNTERFEITING
OPERATING TAXI WITHOUT A PERMIT,OTHER OFFENSES
ATTEMPTED EXTORTION,LARCENY/THEFT
SAFE BURGLARY,BURGLARY
"VANDALISM OR GRAFFITI TOOLS, POSSESSION",OTHER OFFENSES
"CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)",BAD CHECKS
ATTEMPTED MAYHEM WITH A KNIFE,ASSAULT
AIDED CASE,NON-CRIMINAL
INDECENT EXPOSURE (JUVENILE VICTIM),OTHER OFFENSES
FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,OTHER OFFENSES
ACTS AGAINST PUBLIC TRANSIT,OTHER OFFENSES
ASSAULT TO COMMIT MAYHEM OR SPECIFIC SEX OFFENSES,"SEX OFFENSES, FORCIBLE"
FIREARM WITH ALTERED IDENTIFICATION,NON-CRIMINAL
VIN SWITCH,OTHER OFFENSES
ATTEMPTED RAPE WITH A GUN,LARCENY/THEFT
DEFRAUDING AN INNKEEPER,FRAUD
"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",OTHER OFFENSES
THEFT OF COMPUTERS OR CELL PHONES,LARCENY/THEFT
"VEHICLE, RENTAL, FAILURE TO RETURN",VEHICLE THEFT
VISITING WHERE DRUGS ARE USED OR SMOKED,DRUG/NARCOTIC
DESTROYING JAIL PROPERTY-$200 OR UNDER,VANDALISM
SUICIDE BY ASPHYXIATION,SUICIDE
"THEFT, GRAND, AGRICULTURAL",LARCENY/THEFT
SALE OF MARIJUANA,DRUG/NARCOTIC
FALSE ID TO PEACE OFFICER,FRAUD
THEFT OF CHECKS OR CREDIT CARDS,LARCENY/THEFT
"ORAL COPULATION, UNLAWFUL (ADULT VICTIM)","SEX OFFENSES, FORCIBLE"
DEFRAUDING TAXI DRIVER,OTHER OFFENSES
"TOBACCO PRODUCTS, SELLING OR FURNISHING TO MINOR",OTHER OFFENSES
"DEMONSTRATION, VIDEO EVIDENCE, MISC. INVESTIGATION",NON-CRIMINAL
LOOTING DURING STATE OF EMERGENCY,OTHER OFFENSES
FALSE PERSONATION AND CHEAT CRIMES (GENERAL),OTHER OFFENSES
ROBBERY OF A CHAIN STORE WITH A KNIFE,ROBBERY
"AEROSOL CONTAINER; SALE, PURCHASE OR POSSESSION OF",VANDALISM
FALSE PERSONATION,OTHER OFFENSES
FALSE REPORT OF CRIME,OTHER OFFENSES
"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ GUN",ASSAULT
AGGRAVATED ASSAULT ON POLICE OFFICER WITH A GUN,ASSAULT
"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",BURGLARY
SALE OF ALCOHOL BY MINOR,DRUG/NARCOTIC
POSSESSION OF BURGLARY TOOLS,OTHER OFFENSES
"BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY",BURGLARY
"ROBBERY,  ATM, KNIFE, ATT.",ROBBERY
ASSAULT,ASSAULT
ATTEMPTED ARSON,LARCENY/THEFT
DISCHARGING IN GROSSLY NEGLIGENT MANNER,ASSAULT
ENROUTE TO U.S. MARSHALL,WARRANTS
INDECENT EXPOSURE,OTHER OFFENSES
POSSESSION OF COCAINE FOR SALES,DRUG/NARCOTIC
"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",OTHER OFFENSES
"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",ASSAULT
SOLICITING MINOR TO COMMIT FELONY,OTHER OFFENSES
"DEATH REPORT, CAUSE UNKNOWN",NON-CRIMINAL
CONTRIBUTING TO THE DELINQUENCY OF MINOR,OTHER OFFENSES
"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER",ASSAULT
SUICIDE BY DROWNING,SUICIDE
GRAFFITI ON GOVERNMENT VEHICLES OR PUBLIC TRANSPORTATION,VANDALISM
"CHECKS, FORGERY (FELONY)",FORGERY/COUNTERFEITING
"ROBBERY ON THE STREET, STRONGARM",ROBBERY
"EMBEZZLEMENT, GRAND THEFT",LARCENY/THEFT
"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE",BURGLARY
SELLING RESTRICTED GLUE TO JUVENILES,OTHER OFFENSES
ASSAULT TO RAPE WITH A GUN,ASSAULT
ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,ROBBERY
"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",STOLEN PROPERTY
CARJACKING WITH A DANGEROUS WEAPON,ROBBERY
"PHONE CALLS, OBSCENE",OTHER OFFENSES
"TRADE SECRETS, THEFT OR UNAUTHORIZED COPYING",LARCENY/THEFT
"CIVIL RIGHTS, INCL. INJURY, THREAT, OR DAMAGE (HATE CRIMES)",ASSAULT
DAMAGE TO FIRE ALARM APPARATUS,VANDALISM
"BURGLARY,WAREHOUSE UNDER CONSTRT, FORCIBLE ENTRY",BURGLARY
"VEHICLE, RECOVERED, AUTO",VEHICLE THEFT
"BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY",BURGLARY
"LASERS, DISCHARGING OR LIGHTS AT AIRCRAFT",ASSAULT
STALKING,ASSAULT
SALES COCAINE BASE/SCHOOLYARD TRAFFICKING ACT VIO,DRUG/NARCOTIC
POSSESSION OF BARBITUATES,DRUG/NARCOTIC
"PERMIT VIOLATION, SIDEWALK SALES",OTHER OFFENSES
OPERATING WITHOUT DANCEHALL PERMIT,OTHER OFFENSES
UNLAWFUL SEXUAL INTERCOURSE,NON-CRIMINAL
MALICIOUS MISCHIEF,VANDALISM
UNLAWFUL TRANSPORTATION OF ALCOHOL,DRUG/NARCOTIC
"PERMIT VIOLATION, SECOND-HAND DEALER",OTHER OFFENSES
"STOLEN COMPUTER, POSSESSION",VEHICLE THEFT
LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION
ROBBERY OF A SERVICE STATION WITH A KNIFE,ROBBERY
"ROBBERY,  ATM, OTHER WEAPON",ROBBERY
"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",BURGLARY
"VEHICLE, RECOVERED, MOTORCYCLE",VEHICLE THEFT
"CREDIT CARD, INCOMPLETE OR COUNTERFEIT",FRAUD
"HYPODERMIC NEEDLE OR SYRINGE, POSSESSION",DRUG/NARCOTIC
TURNED IN GUN,NON-CRIMINAL
VIOLATION OF STAY AWAY ORDER,OTHER OFFENSES
"THEFT, BICYCLE, <$50, NO SERIAL NUMBER",LARCENY/THEFT
